kegg_id	chebi_id
C00888	CHEBI:15536
C00889	CHEBI:8005
C00891	CHEBI:17934
C00892	CHEBI:15938
C00893	CHEBI:32877
C00894	CHEBI:15513
C00895	CHEBI:8756
C00896	CHEBI:9640
C00897	CHEBI:18167
C00898	CHEBI:15671
C00899	CHEBI:16302
C00900	CHEBI:16444
C00902	CHEBI:17308
C00903	CHEBI:16731
C00904	CHEBI:15457
C00905	CHEBI:4126
C00906	CHEBI:27468
C00908	CHEBI:27784
C00909	CHEBI:15651
C00911	CHEBI:18254
C00913	CHEBI:38635
C00915	CHEBI:3056
C00916	CHEBI:15776
C00917	CHEBI:38161
C00918	CHEBI:17698
C00919	CHEBI:16822
C00920	CHEBI:17586
C00921	CHEBI:4581
C00922	CHEBI:17081
C00923	CHEBI:15719
C00924	CHEBI:15983
C00925	CHEBI:28815
C00927	CHEBI:16483
C00928	CHEBI:41218
C00930	CHEBI:50699
C00931	CHEBI:17381
C00933	CHEBI:16353
C00934	CHEBI:33447
C00935	CHEBI:17983
C00936	CHEBI:28729
C00937	CHEBI:17167
C00938	CHEBI:532
C00939	CHEBI:1014
C00940	CHEBI:16769
C00941	CHEBI:17065
C00942	CHEBI:16356
C00943	CHEBI:27541
C00944	CHEBI:17947
C00946	CHEBI:28223
C00949	CHEBI:4065
C00950	CHEBI:17456
C00951	CHEBI:16469
C00954	CHEBI:16411
C00955	CHEBI:17890
C00956	CHEBI:37023
C00957	CHEBI:16208
C00958	CHEBI:17810
C00959	CHEBI:27624
C00961	CHEBI:18227
C00962	CHEBI:27667
C00963	CHEBI:22798
C00964	CHEBI:15389
C00965	CHEBI:37671
C00966	CHEBI:11561
C00968	CHEBI:28074
C00969	CHEBI:17871
C00971	CHEBI:16871
C00973	CHEBI:17623
C00974	CHEBI:15401
C00975	CHEBI:4593
C00976	CHEBI:85507
C00977	CHEBI:16533
C00978	CHEBI:17697
C00979	CHEBI:17981
C00980	CHEBI:17246
C00982	CHEBI:16531
C00984	CHEBI:28061
C00985	CHEBI:20435
C00986	CHEBI:15725
C00988	CHEBI:17150
C00989	CHEBI:16724
C00990	CHEBI:18120
C00992	CHEBI:15852
C00993	CHEBI:16576
C00994	CHEBI:27441
C00995	CHEBI:16748
C00996	CHEBI:18097
C00997	CHEBI:16448
C00998	CHEBI:16762
C01000	CHEBI:16707
C01001	CHEBI:16314
C01004	CHEBI:18123
C01005	CHEBI:15811
C01007	CHEBI:17607
C01008	CHEBI:17434
C01009	CHEBI:27988
C01010	CHEBI:9889
C01011	CHEBI:36882
C01012	CHEBI:16719
C01013	CHEBI:16510
C01014	CHEBI:28708
C01015	CHEBI:18240
C01017	CHEBI:28171
C01018	CHEBI:2179
C01019	CHEBI:2181
C01020	CHEBI:16168
C01021	CHEBI:33856
C01023	CHEBI:38291
C01024	CHEBI:16645
C01025	CHEBI:61051
C01026	CHEBI:17724
C01028	CHEBI:16570
C01029	CHEBI:27911
C01031	CHEBI:16225
C01032	CHEBI:35376
C01033	CHEBI:15477
C01034	CHEBI:47907
C01035	CHEBI:15728
C01036	CHEBI:17105
C01037	CHEBI:2247
C01040	CHEBI:17587
C01041	CHEBI:16504
C01042	CHEBI:16953
C01043	CHEBI:15737
C01044	CHEBI:48429
C01045	CHEBI:48309
C01046	CHEBI:16440
C01047	CHEBI:17394
C01048	CHEBI:16460
C01050	CHEBI:70765
C01051	CHEBI:15437
C01053	CHEBI:16654
C01054	CHEBI:15441
C01056	CHEBI:17532
C01058	CHEBI:35346
C01059	CHEBI:16364
C01060	CHEBI:15768
C01061	CHEBI:18034
C01062	CHEBI:17426
C01063	CHEBI:15504
C01064	CHEBI:16788
C01065	CHEBI:3783
C01066	CHEBI:17766
C01067	CHEBI:28525
C01068	CHEBI:16246
C01069	CHEBI:15911
C01070	CHEBI:16951
C01071	CHEBI:15856
C01073	CHEBI:16682
C01074	CHEBI:28800
C01075	CHEBI:16702
C01076	CHEBI:33715
C01077	CHEBI:16288
C01078	CHEBI:17430
C01079	CHEBI:15435
C01080	CHEBI:15823
C01081	CHEBI:9533
C01083	CHEBI:16551
C01086	CHEBI:15456
C01087	CHEBI:15801
C01088	CHEBI:15587
C01089	CHEBI:10983
C01090	CHEBI:16799
C01091	CHEBI:18362
C01092	CHEBI:12266
C01093	CHEBI:17863
C01094	CHEBI:18105
C01095	CHEBI:28662
C01096	CHEBI:17044
C01097	CHEBI:4251
C01099	CHEBI:6220
C01100	CHEBI:16996
C01101	CHEBI:17666
C01102	CHEBI:15961
C01103	CHEBI:15842
C01104	CHEBI:15724
C01107	CHEBI:17436
C01108	CHEBI:16164
C01109	CHEBI:16747
C01110	CHEBI:17572
C01111	CHEBI:17508
C01112	CHEBI:16241
C01113	CHEBI:4141
C01114	CHEBI:17100
C01115	CHEBI:17464
C01117	CHEBI:16701
C01118	CHEBI:16160
C01119	CHEBI:16912
C01120	CHEBI:16893
C01121	CHEBI:17913
C01122	CHEBI:27803
C01123	CHEBI:15406
C01124	CHEBI:16485
C01125	CHEBI:18395
C01126	CHEBI:16619
C01127	CHEBI:17742
C01131	CHEBI:17892
C01132	CHEBI:28037
C01133	CHEBI:16948
C01134	CHEBI:4222
C01136	CHEBI:16807
C01137	CHEBI:15625
C01138	CHEBI:16479
C01142	CHEBI:15613
C01143	CHEBI:15899
C01144	CHEBI:15453
C01146	CHEBI:16992
C01147	CHEBI:17878
C01149	CHEBI:18020
C01151	CHEBI:17994
C01152	CHEBI:27596
C01153	CHEBI:7794
C01155	CHEBI:17875
C01156	CHEBI:18030
C01157	CHEBI:18095
C01158	CHEBI:15834
C01159	CHEBI:17720
C01161	CHEBI:17612
C01162	CHEBI:16357
C01163	CHEBI:15749
C01164	CHEBI:17759
C01165	CHEBI:17232
C01166	CHEBI:16571
C01168	CHEBI:18116
C01169	CHEBI:17432
C01170	CHEBI:68678
C01171	CHEBI:16326
C01172	CHEBI:17719
C01173	CHEBI:18393
C01175	CHEBI:16546
C01176	CHEBI:17252
C01177	CHEBI:18297
C01179	CHEBI:15999
C01180	CHEBI:16723
C01181	CHEBI:1941
C01182	CHEBI:16710
C01183	CHEBI:17735
C01185	CHEBI:15763
C01186	CHEBI:15616
C01187	CHEBI:16064
C01188	CHEBI:11805
C01189	CHEBI:17168
C01190	CHEBI:18368
C01191	CHEBI:17298
C01192	CHEBI:17868
C01194	CHEBI:16749
C01197	CHEBI:16433
C01198	CHEBI:16104
C01200	CHEBI:15840
C01201	CHEBI:15827
C01204	CHEBI:17401
C01205	CHEBI:16320
C01207	CHEBI:17807
C01209	CHEBI:17330
C01210	CHEBI:16463
C01211	CHEBI:51807
C01212	CHEBI:84726
C01213	CHEBI:15465
C01214	CHEBI:16181
C01215	CHEBI:16253
C01216	CHEBI:17028
C01217	CHEBI:17321
C01218	CHEBI:2229
C01219	CHEBI:139396
C01220	CHEBI:17816
C01221	CHEBI:16505
C01222	CHEBI:16955
C01223	CHEBI:6851
C01225	CHEBI:18321
C01226	CHEBI:15560
C01227	CHEBI:28689
C01228	CHEBI:17633
C01230	CHEBI:17528
C01231	CHEBI:18148
C01233	CHEBI:16929
C01234	CHEBI:18053
C01235	CHEBI:17505
C01236	CHEBI:16938
C01239	CHEBI:15947
C01240	CHEBI:18271
C01241	CHEBI:15958
C01242	CHEBI:16882
C01243	CHEBI:18228
C01244	CHEBI:17131
C01245	CHEBI:16595
C01246	CHEBI:15812
C01249	CHEBI:17109
C01250	CHEBI:16319
C01251	CHEBI:17852
C01252	CHEBI:17442
C01255	CHEBI:16780
C01259	CHEBI:15786
C01260	CHEBI:17422
C01261	CHEBI:15883
C01262	CHEBI:18323
C01263	CHEBI:15649
C01264	CHEBI:17555
C01265	CHEBI:18010
C01266	CHEBI:28590
C01267	CHEBI:16426
C01268	CHEBI:18337
C01269	CHEBI:16257
C01270	CHEBI:15821
C01272	CHEBI:16783
C01273	CHEBI:17820
C01274	CHEBI:17114
C01275	CHEBI:15612
C01277	CHEBI:17526
C01278	CHEBI:16993
